score,title,year,doi,url,authors,families,databases,citation_count
7,A Cognitive Architecture for Machine Consciousness and Artificial Superintelligence: Thought Is Structured by the Iterative Updating of Working Memory,2022,,http://arxiv.org/abs/2203.17255v7,Jared Edward Reser,theory,arXiv,
7,A Compression-Complexity Measure of Integrated Information,2016,,http://arxiv.org/abs/1608.08450v2,Mohit Virmani; Nithin Nagaraj,theory,arXiv,
7,A Neural Global Workspace Model for Conscious Attention,2003,10.7551/mitpress/2834.003.0079,https://doi.org/10.7551/mitpress/2834.003.0079,James Newman; Bernard J. Baars; Sung-Bae Cho,theory,Crossref,
7,A Neuronal Noise Critique of Integrated Information Theory,2021,,http://arxiv.org/abs/2112.03151v2,Refath Bari,theory,arXiv,
7,A New Charter of Ethics and Rights of Artificial Consciousness in a Human World,2020,,http://arxiv.org/abs/2010.12019v2,Markian Hromiak,measurement,arXiv,
7,A Rosetta Stone Hypothesis for Neurophenomenology: Mathematical Predictions from Predictive Processing,2024,,http://arxiv.org/abs/2409.20318v3,Lancelot Da Costa; Anil K. Seth; Karl Friston; Maxwell J. D. Ramstead; Lars Sandved-Smith,theory,arXiv,
7,A thalamocortical substrate for integrated information via critical synchronous bursting,2023,10.1073/pnas.2308670120,https://pubmed.ncbi.nlm.nih.gov/37939085/,Munn BR; Müller EJ; Aru J; Whyte CJ; Gidon A; Larkum ME; Shine JM,theory,PubMed,
7,Active interoceptive inference and the emotional brain,2016,10.1098/rstb.2016.0007,https://pubmed.ncbi.nlm.nih.gov/28080966/,Seth AK; Friston KJ,embodiment,PubMed,
7,Agnosticism About Artificial Consciousness,2024,10.48550/arxiv.2412.13145,http://arxiv.org/abs/2412.13145,Tom McClelland,artificial,OpenAlex,
7,Agnosticism About Artificial Consciousness,2024,,http://arxiv.org/abs/2412.13145v2,Tom McClelland,artificial,arXiv,
7,Alteration of consciousness in focal epilepsy: the global workspace alteration theory,2014,10.1016/j.yebeh.2013.09.012,https://pubmed.ncbi.nlm.nih.gov/24103816/,Bartolomei F; McGonigal A; Naccache L,theory,PubMed,
7,An Artificial Consciousness Model and its relations with Philosophy of Mind,2020,,http://arxiv.org/abs/2011.14475v2,Eduardo C. Garrido-Merchán; Martin Molina; Francisco M. Mendoza,theory,arXiv,
7,An Integration of Integrated Information Theory with Fundamental Physics,2014,10.3389/fpsyg.2014.00063,http://arxiv.org/abs/1407.4706v1,Adam B. Barrett,theory,arXiv,
7,An affective computational model for machine consciousness,2017,,http://arxiv.org/abs/1701.00349v1,Rohitash Chandra,artificial,arXiv,
7,Artificial Consciousness and the Free Energy Principle,2026,10.1201/9781003758389-11,https://doi.org/10.1201/9781003758389-11,Karl Friston,artificial,Crossref,
7,Artificial Consciousness as Interface Representation,2025,10.1007/978-3-032-00800-8_12,http://arxiv.org/abs/2508.04383v1,Robert Prentner,artificial,arXiv,
7,Artificial Consciousness or Artificial Intelligence,2017,10.18638/dialogo.2017.3.2.12,https://doi.org/10.18638/dialogo.2017.3.2.12,Florin Spanache,artificial,Crossref,
7,"Artificial Intelligence, Machine Consciousness and Explanation",2021,10.20935/al1709,https://doi.org/10.20935/al1709,John Kontos,artificial,Crossref,
7,Artificial consciousness and the consciousness-attention dissociation,2016,10.1016/j.concog.2016.08.011,https://pubmed.ncbi.nlm.nih.gov/27656787/,Haladjian HH; Montemayor C,artificial,PubMed,
7,Attention control and the attention schema theory of consciousness,2020,10.1016/j.pneurobio.2020.101844,https://pubmed.ncbi.nlm.nih.gov/32497564/,Wilterson AI; Kemper CM; Kim N; Webb TW; Reblando AMW; Graziano MSA,theory,PubMed,
